experiment_id,cutoff,period,mean_normalized_total_mass,l2_total_mass,mean_exact_equals_one,status
4,5,30,1/1,2311/1920,1,public_mertens_normalized_total_mass_exact
4,7,210,1/1,40405/32256,1,public_mertens_normalized_total_mass_exact
